Date,Category,Payment_Mode,Description,Amount,Cashback
2024-02-09,Investment,UPI,Invested in cryptocurrency,324.84,9.68
2024-02-21,Investment,UPI,Invested in mutual funds,117.59,16.26
2024-02-20,Groceries,wallet,Bought snacks and drinks,184.74,8.7
2024-02-03,Bills,wallet,Electricity bill for the current month,117.56,17.3
2024-02-07,Bills,UPI,Gas service payment,242.31,5.85
2024-02-09,Stationary,Credit card,Bought a new set of markers and notepads,176.95,15.31
2024-02-25,Transportation,Cash,Paid for public transport pass,354.76,6.59
2024-02-28,Bills,Cash,Settled internet bill,223.76,9.41
2024-02-10,Groceries,Debit card,Grocery shopping for fruits and vegetables,417.83,5.27
2024-02-16,Groceries,Cash,Supermarket shopping for essentials,358.06,13.28
2024-02-14,Investment,UPI,Invested in cryptocurrency,262.62,17.6
2024-02-13,Investment,wallet,Invested in mutual funds,423.1,7.97
2024-02-23,Groceries,UPI,Grocery shopping for fruits and vegetables,225.06,17.14
2024-02-08,Bills,Credit card,Monthly electricity bill payment,195.2,15.33
2024-02-12,Groceries,wallet,Supermarket shopping for essentials,370.9,6.46
2024-02-01,Subscription,Cash,Paid for Netflix subscription,352.44,19.74
2024-02-05,Investment,UPI,Investment in stocks,194.99,15.49
2024-02-22,Transportation,Debit card,Paid for public transport pass,76.68,16.11
2024-02-07,Bills,Credit card,Gas service payment,346.55,5.74
2024-02-23,Investment,Cash,Invested in mutual funds,454.48,13.15
2024-02-07,Stationary,Cash,Office supplies for the new quarter,140.25,12.62
2024-02-09,Subscription,wallet,Paid for online entertainment subscription,136.48,5.35
2024-03-29,Subscription,Credit card,Monthly Hotstar subscription,240.62,14.55
2024-03-07,Subscription,Debit card,Paid for Netflix subscription,330.02,19.15
2024-03-25,Subscription,UPI,Paid for Netflix subscription,407.38,10.07
2024-03-14,Transportation,wallet,Paid for public transport pass,77.25,9.67
2024-03-08,Investment,UPI,Investment in stocks,466.99,6.07
2024-03-12,Bills,Debit card,Gas bill payment,117.72,14.82
2024-03-28,Groceries,UPI,Weekly grocery run,183.11,18.29
2024-03-24,Groceries,Debit card,Grocery shopping for fruits and vegetables,96.53,14.54
2024-03-12,Bills,UPI,Monthly broadband charges,192.5,9.64
2024-03-21,Stationary,wallet,School supplies shopping,156.04,14.54
2024-03-19,Subscription,Cash,Paid for online entertainment subscription,20.4,8.69
2024-03-23,Stationary,Credit card,School supplies shopping,209.08,10.67
2024-03-30,Subscription,UPI,Streaming services subscription,136.16,9.74
2024-03-06,Groceries,Debit card,Weekly grocery run,193.41,16.2
2024-03-30,Transportation,Cash,Bus fare for commuting,65.06,8.99
2024-03-16,Subscription,Debit card,Monthly Hotstar subscription,205.36,14.32
2024-03-29,Stationary,Credit card,School supplies shopping,150.36,8.89
2024-03-24,Investment,wallet,Invested in cryptocurrency,485.17,14.25
2024-03-27,Stationary,wallet,School supplies shopping,375.71,5.24
2024-03-14,Groceries,UPI,Grocery shopping for fruits and vegetables,474.45,18.59
2024-03-29,Subscription,wallet,Monthly Hotstar subscription,486.14,10.68
2024-03-01,Bills,Cash,Payment for high-speed internet,121.45,13.96
2024-03-04,Stationary,wallet,Bought a new set of markers and notepads,427.7,11.27
2024-03-14,Investment,Cash,Bought new shares in a company,451.66,18.24
2024-03-15,Transportation,UPI,Taxi fare to the office,463.69,17.01
2024-03-25,Subscription,Debit card,Streaming services subscription,271.66,18.23
2024-03-21,Groceries,wallet,Supermarket shopping for household items,278.69,13.46
2024-03-16,Stationary,Cash,Bought a new set of markers and notepads,48.59,13.29
2024-03-20,Investment,wallet,Monthly contribution to retirement fund,386.62,14.66
2024-03-04,Investment,Debit card,Monthly contribution to retirement fund,478.78,8.56
2024-03-05,Transportation,UPI,Bus fare for commuting,350.19,12.9
2024-03-12,Stationary,Cash,Office supplies for the new quarter,392.5,5.54
2024-03-10,Subscription,UPI,Paid for online entertainment subscription,232.36,16.46
2024-03-19,Bills,UPI,Settled the water bill,488.91,15.55
2024-03-06,Bills,Debit card,Electricity bill for the current month,431.19,9.92
2024-03-17,Stationary,Credit card,Office supplies for the new quarter,273.86,15.38
2024-03-04,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",196.43,9.2
2024-03-09,Bills,wallet,Water bill for the month,275.86,17.45
2024-03-18,Subscription,Debit card,Prime membership renewal,161.97,9.51
2024-03-03,Subscription,wallet,Monthly Hotstar subscription,332.43,13.03
2024-03-06,Transportation,wallet,Uber ride for the week,262.24,19.65
2024-03-23,Investment,Cash,Investment in stocks,63.49,11.95
2024-03-18,Transportation,Debit card,Paid for public transport pass,456.51,19.23
2024-03-12,Subscription,Cash,Streaming services subscription,467.31,18.22
2024-03-07,Transportation,Debit card,Bus fare for commuting,199.7,12.55
2024-03-20,Stationary,Credit card,School supplies shopping,409.22,9.58
2024-03-12,Investment,wallet,Invested in mutual funds,295.3,10.09
2024-03-22,Stationary,Credit card,Bought a new set of markers and notepads,340.29,15.05
2024-03-02,Stationary,Cash,Bought a new set of markers and notepads,42.4,19.93
2024-03-06,Subscription,Cash,Paid for Netflix subscription,50.98,10.29
2024-03-01,Investment,UPI,Bought new shares in a company,21.34,19.12
2024-03-01,Subscription,Cash,Prime membership renewal,404.03,18.31
2024-03-26,Investment,wallet,Invested in mutual funds,432.05,11.58
2024-03-21,Subscription,Cash,Prime membership renewal,167.96,19.12
2024-03-21,Subscription,wallet,Paid for online entertainment subscription,217.83,9.5
2024-03-10,Investment,Debit card,Monthly contribution to retirement fund,423.21,13.74
2024-03-06,Stationary,Debit card,Bought stationery for the office,329.03,14.06
2024-03-18,Bills,Credit card,Gas bill payment,78.35,7.66
2024-03-22,Subscription,Cash,Monthly Hotstar subscription,167.0,8.91
2024-03-11,Subscription,wallet,Streaming services subscription,373.82,6.14
2024-03-24,Stationary,Credit card,Bought stationery for the office,249.61,11.16
2024-03-28,Investment,wallet,Investment in stocks,352.84,12.51
2024-03-02,Groceries,wallet,Supermarket shopping for household items,273.24,19.96
2024-03-03,Transportation,Cash,Paid for public transport pass,276.6,15.81
2024-03-19,Subscription,Credit card,Paid for Netflix subscription,307.93,6.99
2024-03-30,Stationary,Cash,Bought stationery for the office,283.15,18.98
2024-03-05,Transportation,Debit card,Uber ride for the week,487.29,10.56
2024-03-04,Subscription,Credit card,Paid for online entertainment subscription,217.27,7.36
2024-03-19,Transportation,Debit card,Uber ride for the week,119.55,15.97
2024-03-02,Bills,UPI,Payment for high-speed internet,125.52,19.94
2024-03-08,Transportation,Cash,Bus fare for commuting,222.25,8.83
2024-03-17,Stationary,wallet,School supplies shopping,466.14,16.36
2024-03-13,Groceries,Debit card,Supermarket shopping for household items,297.35,12.45
2024-03-01,Groceries,Debit card,Supermarket shopping for household items,282.47,9.42
2024-03-15,Bills,Credit card,Electricity bill for the current month,81.65,7.47
2024-03-26,Transportation,Credit card,Fuel refill for the car,192.62,8.38
2024-03-09,Stationary,Credit card,Bought a new set of markers and notepads,481.75,6.5
2024-03-09,Groceries,UPI,Weekly grocery run,294.14,17.27
2024-03-03,Subscription,wallet,Paid for online entertainment subscription,381.04,17.29
2024-03-23,Bills,wallet,Settled the water bill,471.34,10.13
2024-03-12,Bills,UPI,Gas service payment,394.79,15.48
2024-03-22,Stationary,wallet,Bought stationery for the office,125.34,6.28
2024-03-05,Groceries,Credit card,Supermarket shopping for household items,358.66,15.06
2024-03-20,Subscription,Debit card,Paid for Netflix subscription,253.89,12.0
2024-03-01,Bills,UPI,Settled internet bill,157.45,5.36
2024-03-17,Transportation,Debit card,Bus fare for commuting,491.42,19.53
2024-03-20,Subscription,Credit card,Paid for online entertainment subscription,91.79,16.47
2024-03-29,Groceries,wallet,Weekly grocery run,263.0,7.22
2024-03-12,Groceries,wallet,Weekly grocery run,465.86,16.68
2024-03-21,Transportation,Cash,Fuel refill for the car,97.76,16.72
2024-03-18,Stationary,wallet,"Purchased pens notebooks, and other office supplies",303.77,5.24
2024-03-19,Investment,wallet,Investment in stocks,358.92,10.24
2024-03-03,Bills,Cash,Paid the gas bill for this month,24.7,19.82
2024-03-08,Bills,wallet,Water bill for the month,356.07,12.55
2024-03-03,Subscription,UPI,Prime membership renewal,131.39,13.87
2024-03-19,Transportation,Cash,Taxi fare to the office,305.97,8.34
2024-03-16,Stationary,Cash,School supplies shopping,126.9,12.33
2024-03-17,Subscription,Debit card,Monthly Hotstar subscription,196.57,13.71
2024-03-05,Stationary,Cash,Office supplies for the new quarter,348.69,16.99
2024-03-17,Bills,UPI,Water bill for the month,198.36,17.4
2024-03-03,Groceries,UPI,Supermarket shopping for essentials,148.36,13.67
2024-03-15,Groceries,Debit card,Supermarket shopping for essentials,245.8,14.17
2024-03-15,Subscription,Debit card,Prime membership renewal,334.52,10.43
2024-03-14,Stationary,wallet,School supplies shopping,475.19,11.57
2024-03-26,Stationary,Debit card,Bought a new set of markers and notepads,196.57,10.41
2024-03-30,Subscription,UPI,Monthly Hotstar subscription,295.61,15.96
2024-03-24,Bills,Cash,Settled the monthly gas charges,464.02,6.81
2024-03-27,Investment,UPI,Invested in cryptocurrency,427.58,13.02
2024-03-18,Stationary,Credit card,School supplies shopping,31.39,18.89
2024-03-04,Transportation,Credit card,Paid for public transport pass,126.73,13.62
2024-03-13,Groceries,Credit card,Supermarket shopping for essentials,295.15,15.9
2024-03-08,Stationary,wallet,"Purchased pens notebooks, and other office supplies",222.73,5.3
2024-03-04,Bills,Cash,Payment for high-speed internet,458.0,5.45
2024-03-20,Stationary,UPI,Office supplies for the new quarter,264.23,18.55
2024-03-06,Stationary,wallet,Bought a new set of markers and notepads,244.11,7.65
2024-03-20,Transportation,Cash,Taxi fare to the office,448.04,9.56
2024-03-01,Groceries,UPI,Weekly grocery run,286.71,10.57
2024-03-23,Transportation,Cash,Bus fare for commuting,71.23,15.12
2024-03-16,Transportation,wallet,Fuel refill for the car,181.23,18.97
2024-03-17,Investment,Credit card,Bought new shares in a company,125.96,8.61
2024-04-18,Subscription,UPI,Paid for Netflix subscription,210.81,15.28
2024-04-28,Bills,UPI,Settled the monthly gas charges,458.45,12.77
2024-04-14,Subscription,Cash,Prime membership renewal,453.37,13.74
2024-04-27,Bills,Debit card,Monthly broadband charges,50.54,16.59
2024-04-21,Stationary,wallet,School supplies shopping,473.58,9.11
2024-04-12,Bills,UPI,Monthly electricity bill payment,361.12,18.15
2024-04-19,Transportation,Cash,Fuel refill for the car,260.59,17.36
2024-04-23,Subscription,Debit card,Paid for Netflix subscription,357.43,8.0
2024-04-05,Groceries,Credit card,Supermarket shopping for essentials,90.43,18.19
2024-04-01,Investment,Cash,Investment in stocks,270.08,14.11
2024-04-11,Subscription,UPI,Paid for Netflix subscription,179.15,8.39
2024-04-05,Subscription,Credit card,Paid for online entertainment subscription,398.92,9.44
2024-04-04,Bills,wallet,Water bill for the month,416.5,5.71
2024-04-17,Transportation,Debit card,Fuel refill for the car,291.99,9.2
2024-04-21,Subscription,Credit card,Streaming services subscription,150.26,10.97
2024-04-29,Subscription,Cash,Streaming services subscription,423.13,6.39
2024-04-01,Investment,UPI,Monthly contribution to retirement fund,469.47,11.12
2024-04-20,Stationary,Credit card,School supplies shopping,50.77,14.54
2024-04-05,Stationary,Cash,Bought a new set of markers and notepads,413.94,16.19
2024-04-27,Subscription,wallet,Paid for online entertainment subscription,59.8,17.52
2024-04-20,Groceries,Cash,Weekly grocery run,415.21,18.69
2024-04-23,Groceries,wallet,Supermarket shopping for essentials,476.17,9.41
2024-04-28,Transportation,wallet,Taxi fare to the office,121.31,16.03
2024-04-07,Groceries,UPI,Grocery shopping for fruits and vegetables,201.04,9.73
2024-04-18,Bills,Credit card,Water bill for the month,167.42,13.49
2024-04-17,Investment,UPI,Invested in mutual funds,458.79,12.41
2024-04-01,Investment,Credit card,Invested in cryptocurrency,262.99,19.35
2024-04-24,Groceries,wallet,Supermarket shopping for household items,231.36,10.59
2024-04-21,Investment,UPI,Bought new shares in a company,423.15,12.96
2024-04-26,Subscription,wallet,Paid for Netflix subscription,452.48,10.81
2024-04-21,Subscription,wallet,Streaming services subscription,229.37,19.35
2024-04-29,Transportation,wallet,Paid for public transport pass,236.19,14.51
2024-04-14,Stationary,Cash,School supplies shopping,148.05,7.1
2024-04-13,Bills,wallet,Electricity bill for the current month,93.98,16.41
2024-04-06,Investment,Debit card,Investment in stocks,265.59,18.06
2024-04-28,Investment,Debit card,Investment in stocks,99.61,5.51
2024-04-06,Investment,Debit card,Invested in mutual funds,366.32,10.88
